RA_ICRS,DE_ICRS,dist_PLX,Diam_pc
51.862,34.9631,685,14
288.4199,36.3689,401,5
295.6135,27.3689,560,14
297.1623,22.0071,901,5
298.3079,39.311,1193,22
53.0773,44.8773,876,9
300.7762,33.5534,2013,15
302.7513,37.4919,857,17
318.099,38.5739,568,11
324.9769,53.9972,938,6
329.3036,51.5193,762,7
72.4335,41.7837,1062,10
340.2334,54.1731,234,9
347.1514,64.9121,379,8
349.937,54.4065,662,11
78.3057,44.4212,1113,22
81.2127,1.6416,352,5
82.0053,-1.9693,361,8
82.1453,3.457,348,6
95.0365,46.7175,627,7
103.5647,-1.6507,1058,6
104.3221,-6.2983,1115,12
105.705,-26.5665,813,19
116.6691,0.1722,298,8
153.6086,-54.9585,485,9
26.8538,57.7058,1609,9
168.362,-55.4297,1001,4
175.2892,-60.9906,2076,12
184.9818,-67.4802,1272,9
189.5127,-67.2157,658,15
212.7227,-62.323,1187,6
229.6997,-60.808,850,25
251.8426,-45.5321,893,10
255.5757,-28.3934,787,10
256.893,-35.4881,911,12
41.6795,57.7627,2462,16
264.7191,-34.8886,583,8
279.275,-19.1702,574,3
282.2168,-18.428,296,7
13.3221,49.5407,719,6
301.2106,-10.5442,447,5
310.9116,23.9029,550,13
51.5722,-35.7687,104,5
113.8534,-15.0924,3794,4
114.2945,-26.3902,7934,5
274.8165,12.4662,584,15
71.6253,55.2335,629,12
2.587,58.7424,432,4
107.7096,-9.3975,581,9
260.6661,-62.7731,485,8
109.6995,-46.0707,280,15
267.6642,-11.883,676,8
342.0094,46.3337,722,11
132.6451,-41.7645,969,9
295.2822,1.5073,668,31
160.6428,-61.0519,399,6
97.3627,9.1792,5050,5
103.074,2.1955,4401,2
220.1006,-66.1284,908,8
105.6147,-1.1214,2973,5
284.0275,21.5794,628,6
232.4931,-51.1959,676,6
266.0696,-47.0742,207,12
304.1485,52.0228,658,6
255.4419,-59.0184,612,9
118.2516,-53.0534,705,11
332.2826,61.1006,899,11
180.6461,-60.9493,1034,9
262.4708,-32.5329,1187,4
283.7115,5.5533,1901,3
354.1605,48.1609,425,8
96.3197,-10.5524,968,2
104.2946,-8.2091,1297,2
106.3412,-12.3212,1184,2
151.6211,-51.5557,2088,5
167.3136,-63.8306,2946,3
170.7664,-58.5482,15416,10
174.668,-63.384,2584,12
