name,RA_ICRS,DE_ICRS,r50,r50_arcmin,rmax_arcmin,diamMAX_arcmin,N,pmRA,e_pmRA,pmDE,e_pmDE,Vr,e_Vr,Nvr,Plx,e_Plx,sigPM,flagdispPM,age,e_age,dist_iso,e_dist_iso,FeH,e_FeH,Av,e_Av,AG,e_AG,dist_PLX,e_dist_PLX,Diam_pc,DiamMax_pc,delta_dist,likelihood,BIC,prior_FEH,prior_AV,REF
ASCC_10,51.862,34.9631,0.561,33.633,100.564,201.128,71,-1.742,0.18,-1.385,0.169,-10.87,5.243,3,1.487,0.107,0.247,1,8.178,0.155,643,30,0.109,0.1,0.82,0.11,0.595,0.216,685,9,14,41,-42,-448.821,914.694,1,1,1
ASCC_101,288.4199,36.3689,0.333,19.97,87.312,174.625,75,0.918,0.283,1.37,0.286,-16.353,2.688,16,2.503,0.067,0.402,1,8.521,0.162,397,1,0.004,0.064,0.152,0.071,0.273,0.286,401,2,5,21,-4,-251.777,520.825,1,1,1
ASCC_105,295.6135,27.3689,0.673,40.38,139.002,278.005,127,1.461,0.239,-1.61,0.198,-14.302,4.09,18,1.785,0.066,0.31,1,8.328,0.138,545,8,0.051,0.055,0.45,0.039,0.429,0.234,560,21,14,46,-15,-369.142,757.661,1,1,1
ASCC_107,297.1623,22.0071,0.156,9.345,29.13,58.26,59,-0.144,0.135,-5.158,0.141,,,0,1.118,0.055,0.195,1,7.44,0.121,864,30,0.353,0.103,1.372,0.129,1.472,0.387,901,9,5,16,-37,-563.486,1143.283,1,1,1
ASCC_108,298.3079,39.311,0.527,31.623,108.711,217.423,230,-0.509,0.101,-1.69,0.128,,,0,0.837,0.047,0.164,1,8.334,0.108,1138,31,0.093,0.093,0.464,0.071,0.499,0.208,1193,12,22,76,-55,-404.709,831.17,1,1,1
ASCC_11,53.0773,44.8773,0.283,16.993,83.426,166.853,276,0.952,0.197,-3.02,0.203,-14.242,0.233,3,1.142,0.064,0.283,1,8.66,0.063,849,20,-0.056,0.064,0.917,0.075,0.687,0.255,876,9,9,43,-27,-554.37,1131.222,1,1,1
ASCC_110,300.7762,33.5534,0.206,12.383,53.863,107.726,70,0.276,0.069,-3.134,0.08,-1.178,0.856,3,0.494,0.036,0.106,1,8.795,0.084,1583,143,0.14,0.195,1.228,0.122,1.266,0.508,2013,52,15,64,-430,-669.538,1356.07,1,1,1
ASCC_111,302.7513,37.4919,0.535,32.07,124.733,249.465,156,-1.168,0.219,-1.527,0.164,-22.689,1.165,8,1.168,0.062,0.273,1,8.507,0.209,819,18,0.08,0.096,0.605,0.084,0.643,0.289,857,46,17,63,-38,-462.202,944.604,1,1,1
ASCC_113,318.099,38.5739,0.517,30.992,67.304,134.608,98,0.798,0.133,-3.69,0.145,-4.195,3.867,5,1.761,0.044,0.197,1,8.455,0.226,559,9,-0.052,0.111,0.279,0.132,0.25,0.177,568,4,11,23,-9,-375.791,769.921,1,1,1
ASCC_114,324.9769,53.9972,0.182,10.934,38.649,77.299,150,-3.753,0.21,-3.435,0.144,,,0,1.063,0.038,0.255,1,7.632,0.271,911,12,0.035,0.078,1.216,0.091,0.937,0.233,938,11,6,22,-27,-529.635,1079.312,1,1,1
ASCC_115,329.3036,51.5193,0.243,14.576,40.21,80.421,39,-0.551,0.085,-0.555,0.109,,,0,1.314,0.032,0.138,1,8.389,0.239,742,17,0.05,0.174,0.945,0.204,0.796,0.204,762,7,7,18,-20,-607.352,1229.358,1,1,1
ASCC_12,72.4335,41.7837,0.267,15.99,62.304,124.609,162,-0.616,0.229,-2.81,0.176,-69.436,0.367,2,0.936,0.083,0.289,1,8.356,0.262,1010,36,-0.114,0.081,1.088,0.082,0.696,0.242,1062,16,10,39,-52,-463.025,946.4,1,1,1
ASCC_123,340.2334,54.1731,1.074,64.413,137.245,274.491,55,12.328,0.415,-1.542,0.376,-3.225,1.738,8,4.281,0.165,0.559,1,7.793,0.083,233,1,-0.006,0.072,0.306,0.062,0.529,0.532,234,10,9,19,-1,-320.109,656.246,1,1,1
ASCC_127,347.1514,64.9121,0.547,32.827,89.201,178.403,122,7.484,0.274,-1.795,0.321,-11.267,2.676,16,2.617,0.088,0.422,1,7.496,0.131,365,10,0.152,0.115,0.668,0.08,0.931,0.49,379,13,8,20,-14,-305.09,629.397,1,1,1
ASCC_128,349.937,54.4065,0.454,27.216,91.374,182.749,72,1.215,0.154,0.188,0.13,,,0,1.508,0.057,0.202,1,8.243,0.223,650,11,0.025,0.056,0.613,0.037,0.507,0.254,662,5,11,36,-12,-453.855,924.816,1,1,1
ASCC_13,78.3057,44.4212,0.564,33.867,85.471,170.943,110,-0.477,0.111,-1.737,0.108,,,0,0.899,0.076,0.155,1,7.615,0.098,1066,26,-0.075,0.078,0.915,0.027,0.663,0.266,1113,16,22,56,-47,-493.441,1005.685,1,1,1
ASCC_16,81.2127,1.6416,0.37,22.215,67.061,134.122,226,1.371,0.285,0.006,0.282,21.308,1.696,12,2.842,0.116,0.401,1,7.088,0.061,348,3,-0.062,0.069,0.224,0.045,0.936,0.72,352,2,5,14,-4,-124.822,271.327,1,1,1
ASCC_19,82.0053,-1.9693,0.616,36.984,92.131,184.263,188,1.105,0.268,-1.303,0.246,23.576,2.719,10,2.754,0.09,0.364,1,7.139,0.03,356,2,0.076,0.077,0.189,0.043,0.946,0.645,361,2,8,20,-5,-137.246,295.439,1,1,1
ASCC_21,82.1453,3.457,0.426,25.589,57.838,115.677,131,1.361,0.3,-0.62,0.249,17.332,2.319,9,2.892,0.136,0.39,1,7.102,0.038,343,5,-0.008,0.029,0.236,0.048,1.058,0.726,348,1,6,12,-5,-127.197,273.895,1,1,1
ASCC_23,95.0365,46.7175,0.296,17.733,103.693,207.387,129,1.101,0.213,-0.622,0.224,-13.225,1.347,12,1.585,0.064,0.309,1,8.605,0.102,608,12,0.025,0.099,0.325,0.097,0.391,0.26,627,6,7,38,-19,-245.082,509.602,1,1,1
ASCC_29,103.5647,-1.6507,0.156,9.389,22.47,44.94,54,-1.001,0.167,-1.015,0.12,,,0,0.954,0.064,0.205,1,7.892,0.165,1008,24,-0.096,0.071,0.4,0.046,0.294,0.243,1058,20,6,14,-49,-281.942,579.839,1,1,1
ASCC_30,104.3221,-6.2983,0.287,17.222,59.057,118.114,59,-1.58,0.132,-0.166,0.092,,,0,0.897,0.049,0.161,1,8.499,0.107,1070,45,0.049,0.114,0.635,0.115,0.5,0.226,1115,20,12,39,-45,-466.022,948.354,1,1,1
